('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/df5c5a56-c741-4eb2-965c-48277df6c4df_bochum_000000_003005_edit.png', array([-0.3134752, -1.3126813], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/adfec435-665b-490c-8e13-aa8c2a54817f_aachen_000001_000019_edit.png', array([-0.31400925, -1.3112321 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/09c27b7f-964b-431f-b610-d344d1690d51_strasbourg_000000_000065_edit.png', array([-0.38907564, -1.1322198 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/da10b534-3aca-4cfc-a2ce-0b4fab28b010_strasbourg_000000_021651_edit.png', array([-0.42619234, -1.0584036 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/d70e3b63-63df-4e1d-80cb-fe115d7d72ab_hamburg_000000_067223_edit.png', array([-0.61620045, -0.776512  ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/fc553ec3-68bc-4884-9f75-74ccc6e2c466_hanover_000000_045188_edit.png', array([-0.6764651 , -0.71011215], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/e89e2c2b-6ded-4a1b-8610-e945f29d3a12_zurich_000113_000019_edit.png', array([-0.54433614, -0.8680409 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/1cf3db8e-81e7-49ab-840d-e5558ec938e1_stuttgart_000124_000019_edit.png', array([-0.6719004, -0.7148552], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/834f9206-70aa-47e4-aa05-f9e68faa6ac7_hamburg_000000_004985_edit.png', array([-0.31849247, -1.2991797 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/d8eef2c5-67e5-437c-a1cc-b4f27567c8f6_erfurt_000091_000019_edit.png', array([-0.55046356, -0.85963273], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/88847ef2-872f-4d39-8c41-bfc473c1e927_bremen_000193_000019_edit.png', array([-0.42134434, -1.0675908 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/e57f00d5-3b0c-46ca-8f0f-482f9e2522d6_darmstadt_000054_000019_edit.png', array([-0.5111989, -0.9157313], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/bee55f15-7ce8-4e44-b7b7-6f3706f05ed6_hamburg_000000_004985_edit.png', array([-0.38837522, -1.133694  ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/d3bef052-0f6d-4c72-aa4a-941af0cfbcc8_aachen_000058_000019_edit.png', array([-0.34036648, -1.243093  ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/82d40b75-f3a9-45e1-8184-feee59d50789_bremen_000192_000019_edit.png', array([-0.31326938, -1.313241  ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/296f07dd-9644-4a8b-b1f9-fec7f127e775_erfurt_000096_000019_edit.png', array([-0.314763, -1.309192], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/5914cdb7-977a-4c9e-84a0-db19d2472a09_strasbourg_000001_022363_edit.png', array([-0.67031825, -0.7165096 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_add_car/b0c0cde1-9792-45b4-b233-1e1cb6ede7cf_dusseldorf_000063_000019_edit.png', array([-0.34801292, -1.2244807 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/5506b45f-f37a-4d7a-be91-954a1aca3f9c_stuttgart_000087_000019_edit.png', array([-0.44787163, -1.0188404 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/820aa45b-4229-4e50-9f28-38c136ba0ee2_erfurt_000063_000019_edit.png', array([-0.42232352, -1.0657248 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/e0ec5e4e-77d2-4c47-8c13-3fb0ee7fd781_bochum_000000_004748_edit.png', array([-0.5093745 , -0.91847134], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/7287d0e5-ac7a-418c-9e73-50415f5a9f35_hamburg_000000_067223_edit.png', array([-0.6389847, -0.750412 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/f173c1b4-f1b0-4899-b090-efcde0145c1a_tubingen_000074_000019_edit.png', array([-0.49708885, -0.9372563 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/3eb9a247-a533-46ca-91f6-1f58380f1040_jena_000109_000019_edit.png', array([-0.6374947, -0.7520802], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/2239c8b8-478b-4139-a4d8-6712b019eda8_strasbourg_000000_000065_edit.png', array([-0.41648418, -1.0769317 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/46fbbb9a-0f09-4c1e-8a8a-32399caccc0f_zurich_000089_000019_edit.png', array([-0.3482659, -1.2238735], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/40f47145-6fef-4505-b8d1-6fd3c7991b54_bremen_000236_000019_edit.png', array([-0.44228023, -1.0288146 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/d2d4d8f5-a4b4-4e8b-96a1-2c55a7f95f70_dusseldorf_000184_000019_edit.png', array([-0.6531067, -0.734858 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/60a70ccd-8449-4bcb-aaf1-bd54392468fa_bremen_000236_000019_edit.png', array([-0.6271974, -0.7637554], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/364fcda0-e934-416a-80d5-73afd80c9068_hamburg_000000_077642_edit.png', array([-0.31866717, -1.2987142 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/0d22ae23-08bc-450e-b06d-903b0638c78c_weimar_000052_000019_edit.png', array([-0.58411664, -0.8155368 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/8b41dae0-5f2f-4181-a0b4-1a1d37c91982_stuttgart_000077_000019_edit.png', array([-0.5556969, -0.8525472], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/c2fa43b1-d6b9-4ba8-a3c8-cfb29cd00a85_erfurt_000013_000019_edit.png', array([-0.34180176, -1.2395619 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/c283e2dc-4e13-4a9b-b0ed-5bb0f91b22e3_dusseldorf_000167_000019_edit.png', array([-0.48814666, -0.9513037 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/3b2d3e24-2302-48bc-aac3-2adc431ad52f_monchengladbach_000000_020596_edit.png', array([-0.3908227, -1.1285565], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/31ba7c8d-d4af-40ac-b8d3-fc9c820362ca_stuttgart_000087_000019_edit.png', array([-0.37161875, -1.1699486 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/8e4c4bf0-c0e7-4fae-b4ac-62217958f784_dusseldorf_000182_000019_edit.png', array([-0.54250246, -0.8705809 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/82d4ab25-d688-4ccf-b681-a133a8201227_strasbourg_000000_012934_edit.png', array([-0.36649913, -1.1814182 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/ae134900-c05e-4f0f-80d9-4f5300c50859_bremen_000309_000019_edit.png', array([-0.3881305, -1.1342096], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/a9248070-fa79-4f33-ae4e-b10cb2ce1aa7_stuttgart_000162_000019_edit.png', array([-0.3721223, -1.1688305], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/68d9862c-968a-4826-b3cc-2b2d6886638b_erfurt_000092_000019_edit.png', array([-0.4707744 , -0.97954595], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/fa7cd19b-0b9c-471b-85ca-cd62849a141b_bremen_000231_000019_edit.png', array([-0.34456813, -1.2328055 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/888e0707-455a-42ca-b9ef-df2ef3c49afb_hanover_000000_019456_edit.png', array([-0.31804085, -1.3003846 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/9f91093c-e063-4891-aecc-1ab9fe30022b_zurich_000031_000019_edit.png', array([-0.32407516, -1.2844453 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/38f66b35-0220-4f89-b248-1b94ba6d2416_krefeld_000000_021553_edit.png', array([-0.5358241, -0.8799269], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_change_person_color/aab363fe-5cfd-4dea-91a9-74b5af54ab56_jena_000030_000019_edit.png', array([-0.3154117, -1.3074406], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/ae73fd99-9302-4126-bef6-df263baf75b7_strasbourg_000001_001072_edit.png', array([-0.31466275, -1.309463  ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/fa99cd67-5e71-45ea-9fae-04c761151e90_aachen_000082_000019_edit.png', array([-0.3997857, -1.1100688], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/c87f7581-c40c-41fe-bd51-f110b90a6832_hanover_000000_000381_edit.png', array([-0.36301416, -1.189336  ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/84887421-1613-4ae2-a488-af505ac727e1_ulm_000046_000019_edit.png', array([-0.32316005, -1.2868402 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/1deff1c1-65e0-4fc7-97f9-c7149912b78d_strasbourg_000000_018874_edit.png', array([-0.33706582, -1.2512808 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/8bc1867b-211b-4eaf-a41b-9a2ce700a337_tubingen_000133_000019_edit.png', array([-0.6741706, -0.7124909], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/rotated_car/b609d47a-8474-4cac-b18f-2fe20c98b897_stuttgart_000148_000019_edit.png', array([-0.4416272, -1.0299895], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/9cd5ea42-d6da-4265-a1ae-4e8572a81092_bremen_000236_000019_edit.png', array([-0.4949144, -0.9406426], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/189f52b0-4bb9-4ce2-b320-ae9dbf619b71_bremen_000122_000019_edit.png', array([-0.46832263, -0.9836372 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/9ded657d-4e75-47e3-ab89-55ac0a4f0c9e_dusseldorf_000161_000019_edit.png', array([-0.3730353, -1.1668084], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/ce78df0f-14f5-48d3-8422-0e5dbf9484f1_bremen_000046_000019_edit.png', array([-0.68517745, -0.7011808 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/2d2ab216-230e-46d1-a798-715dea43ff19_hamburg_000000_004985_edit.png', array([-0.36000317, -1.1962497 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/c6f61af8-0d81-46a0-90c3-ed5558a4776d_bremen_000154_000019_edit.png', array([-0.31665492, -1.304096  ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/6ffbef6e-362f-4f9f-a9b8-798f1fc51b76_weimar_000113_000019_edit.png', array([-0.3163547, -1.3049023], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/05f8795d-531c-4e53-8eea-cfad6a4beff3_hanover_000000_003411_edit.png', array([-0.35901183, -1.1985412 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/7d3d0789-c6b0-4146-b42f-0bb0db2afb26_zurich_000031_000019_edit.png', array([-0.3487603, -1.2226875], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/65574ca4-fcc3-4fc8-a71a-18f95d1223d3_erfurt_000062_000019_edit.png', array([-0.49142534, -0.9461155 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/bf9e8974-78d6-40d6-9867-0de6c0eb3755_stuttgart_000160_000019_edit.png', array([-0.5020233 , -0.92964125], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_change_person_color/7138fdd7-9419-4f22-813b-8dfe159d35d3_ulm_000002_000019_edit.png', array([-0.34274352, -1.2372547 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/8dd9bc23-73b6-4785-b92c-72a7b60ab45e_dusseldorf_000189_000019_edit.png', array([-0.6749895, -0.7116406], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/65fb04a1-4bae-45f7-a540-2946d5e02555_aachen_000151_000019_edit.png', array([-0.4924748, -0.9444641], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/6ed09032-b77d-4abd-84b9-34bc13471a04_tubingen_000073_000019_edit.png', array([-0.6633958 , -0.72381073], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/a6aaf9e4-2031-4496-a901-0e13518e1005_jena_000103_000019_edit.png', array([-0.37983048, -1.1519413 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/e286cb75-e5dc-4131-8cbe-cf87e04478bb_hanover_000000_046732_edit.png', array([-0.48543262, -0.9556321 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/7736c7a4-1779-4188-a5c9-2deb982f68d6_aachen_000129_000019_edit.png', array([-0.5981417 , -0.79813546], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/d11ba3b2-a3cb-417e-bb04-cf2dadab75b4_hanover_000000_003411_edit.png', array([-0.55996525, -0.84683216], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/8da925c0-9cc7-43ef-bb3e-d38e7bda2456_strasbourg_000000_031223_edit.png', array([-0.32836336, -1.2733277 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/d0a679fe-4e4b-4432-9a5b-33171035f4f2_dusseldorf_000214_000019_edit.png', array([-0.4462192, -1.0217719], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/9ac6b774-f54b-4c5b-bf0c-efce795e6cb3_hamburg_000000_067223_edit.png', array([-0.4630999, -0.9924424], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/55203bc1-545a-482c-b466-50256afcc304_erfurt_000100_000019_edit.png', array([-0.44242793, -1.0285488 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/a5884a50-4336-4d26-aabb-4424a061e42f_jena_000011_000019_edit.png', array([-0.3152544, -1.307865 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/1e7b9eb8-46b7-432c-915f-f00fc500170e_tubingen_000088_000019_edit.png', array([-0.37972653, -1.1521664 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/33770754-9568-4543-bd2f-cdb52462308b_erfurt_000016_000019_edit.png', array([-0.3301531, -1.2687377], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/ea92fa17-3e30-4095-8ab3-cc74a9277ac9_bremen_000292_000019_edit.png', array([-0.36969614, -1.1742337 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/fa2b9e5f-fa1b-4c54-b579-220ac11ea9c3_dusseldorf_000153_000019_edit.png', array([-0.46847838, -0.9833765 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/06ee85b6-4f1a-40aa-8e33-4d574944b4ed_dusseldorf_000060_000019_edit.png', array([-0.5711738, -0.8320923], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/1fceee95-fc72-490b-8761-dbf89094aad3_hanover_000000_000381_edit.png', array([-0.5926457 , -0.80488956], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/e1bbfe68-6619-4c90-857d-148d50ba9b19_erfurt_000008_000019_edit.png', array([-0.62199086, -0.7697571 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/0201ab9a-45a2-4e92-bd1b-affdc289f6f4_monchengladbach_000000_021104_edit.png', array([-0.42109972, -1.0680578 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/a4aa96ff-92de-4fb9-ab49-25065dba7429_strasbourg_000000_018874_edit.png', array([-0.44083697, -1.0314144 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/84850912-4240-48cd-87cd-9a0a2dddcee8_ulm_000086_000019_edit.png', array([-0.32795393, -1.2743818 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/d21a9b98-510e-4216-85cb-0664eadaa072_dusseldorf_000063_000019_edit.png', array([-0.5230674, -0.8982042], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/d025993a-2e6b-4aaa-8669-2df8918b3aca_hamburg_000000_077642_edit.png', array([-0.31720853, -1.3026111 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_add_car/350f3214-6b60-4546-8cdc-abfd3f7c528a_krefeld_000000_008239_edit.png', array([-0.3619215, -1.191837 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/0cae89ae-80cd-4b83-9838-a36ba9e00de0_erfurt_000013_000019_edit.png', array([-0.65081936, -0.73734605], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/11302a4c-6b39-48bd-aac6-3025415be358_bremen_000193_000019_edit.png', array([-0.4462086, -1.0217906], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/46a2c511-d4d2-40a8-a21b-d03140e97303_tubingen_000088_000019_edit.png', array([-0.5044219, -0.9259739], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/82b0ba09-164a-462a-b9d2-c3cb67d7b9b5_erfurt_000026_000019_edit.png', array([-0.31388563, -1.3115678 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/0ed2afa5-27a1-451d-972a-21b7535d2508_aachen_000080_000019_edit.png', array([-0.32992238, -1.2693276 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/331e24e8-decf-48fc-83fa-6a1b4efda971_aachen_000112_000019_edit.png', array([-0.43884683, -1.0350165 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/7c5e25fe-b581-40dc-9be4-7e292ae1dcdf_dusseldorf_000169_000019_edit.png', array([-0.5760556, -0.8257903], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/8dbcc9a1-a807-489b-8853-2c759ceb1471_strasbourg_000001_064224_edit.png', array([-0.46733218, -0.9852975 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/04dbf86c-ef55-4440-954c-23bd01254983_dusseldorf_000184_000019_edit.png', array([-0.6145575 , -0.77844405], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/8811d96c-153b-495f-9692-8443ad794016_dusseldorf_000028_000019_edit.png', array([-0.4279644, -1.0550776], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/96959240-9c53-4254-a4e7-b0576095a542_dusseldorf_000130_000019_edit.png', array([-0.690439 , -0.6958628], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/4e73774a-9074-4a9d-8c5d-bf296c6b3aa6_strasbourg_000001_035276_edit.png', array([-0.31783223, -1.3009421 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/ddce54b9-1915-46de-970e-1f16cf76efbf_stuttgart_000175_000019_edit.png', array([-0.5625397 , -0.84341276], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/82eff5a9-f6d5-4ea9-b171-6d01778d78d2_bremen_000194_000019_edit.png', array([-0.50554264, -0.9242679 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/ebbd7c8f-535c-4896-a953-7df087899cea_bremen_000024_000019_edit.png', array([-0.40410024, -1.1013476 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/ed1e2b2c-a24c-4ed1-9ff1-0ef0129d2731_zurich_000031_000019_edit.png', array([-0.3434112, -1.2356236], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/78e22711-fce9-4d91-9872-8498a4ddc9fe_dusseldorf_000182_000019_edit.png', array([-0.61791  , -0.7745089], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/7e6c1e94-fcec-4bac-9277-549bb03f268e_krefeld_000000_006274_edit.png', array([-0.45982093, -0.99803424], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/4ebf5103-a384-4582-8ac2-1e5082d6b237_krefeld_000000_026919_edit.png', array([-0.5011819 , -0.93093276], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/add_car_lighting_test_with_shadows/bb2067eb-21d0-4d1f-ba94-b0a3c628b228_darmstadt_000053_000019_edit.png', array([-0.33053237, -1.2677687 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/f8a61061-7660-423b-bc15-500ab0885cd7_erfurt_000019_000019_edit.png', array([-0.31343663, -1.3127865 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/dda3ea44-b44d-4819-971c-96623d86e6eb_strasbourg_000000_018874_edit.png', array([-0.43512917, -1.0418    ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_change_person_color/b8e16478-ad7a-4eb9-afb9-27a155bc6c35_stuttgart_000002_000019_edit.png', array([-0.37210512, -1.1688687 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/b58bdb8a-2ad0-4501-89b3-f3bbaf55da56_dusseldorf_000161_000019_edit.png', array([-0.32461178, -1.2830446 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/a542b89f-8482-4740-be32-f046d6eab0dc_monchengladbach_000000_005138_edit.png', array([-0.34963477, -1.2205951 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_change_person_color/1b60a817-1227-426f-bccf-6de063322a1a_jena_000082_000019_edit.png', array([-0.3683039, -1.1773534], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/9b29aedf-6537-4d52-b73d-a08fb357246f_ulm_000046_000019_edit.png', array([-0.33100194, -1.266571  ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/748692ab-ea48-49ec-af31-8528f5329b31_ulm_000044_000019_edit.png', array([-0.34567022, -1.230131  ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/90843d6a-9a33-4453-a1cb-5ca8f896dbb2_weimar_000131_000019_edit.png', array([-0.31333995, -1.3130487 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/94a72b85-55d4-491a-bf1b-c544d37069f7_dusseldorf_000044_000019_edit.png', array([-0.44547904, -1.0230893 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/e015db9b-374a-4737-9d66-49c5ab3241c6_strasbourg_000000_009619_edit.png', array([-0.3606367, -1.1947893], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/3ba102b4-4585-4e6d-a8ad-0ded879c31a6_aachen_000068_000019_edit.png', array([-0.66187704, -0.7254268 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/1ede6bec-4ecd-4334-a681-12f5e396eade_stuttgart_000142_000019_edit.png', array([-0.39103568, -1.1281111 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/8b75e95e-bcc9-467f-a8a9-16a2632a9be0_dusseldorf_000060_000019_edit.png', array([-0.31381565, -1.3117577 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/8b98addb-ed90-4ecc-931e-71ae9f8034b8_weimar_000052_000019_edit.png', array([-0.5528772, -0.856354 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/add_car_check_perspective/641b26ca-7657-4cbf-88fd-b38155f41ea0_erfurt_000085_000019_edit.png', array([-0.5047524, -0.9254705], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/de0ac064-e2e6-4b3b-8165-61b83eba0f33_dusseldorf_000044_000019_edit.png', array([-0.60670704, -0.7877723 ], dtype=float32))
